#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:03.483105291Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:05.165574167Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:06.730737597Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:08.288162324Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:09.894264767Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:11.467628846Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:13.04604156Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:14.617262369Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:16.284836843Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:17.825358687Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:19.388913551Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:20.941553965Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:22.499272232Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:24.061822581Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:25.659255785Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:27.213298266Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:28.779074145Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:31.84258716Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:33.39150646Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:34.947811872Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:36.492009569Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:24:38.055741661Z,-0.361,pressure,ezoprs
